target,asymptote,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
y,8.0,29.0,4.900749719809166e-7,2.7338159268322533e-7,1.0966980227283579e-5,2.635992579106475,0.3297346304882194,0.07964057469008033,0.1889449447930643,0.32973463048822016,0.07964057469008033,0.18894494479306378,0.32973463048822016,0.07964057469008033,0.18894494479306378,-2.3586827142421616e-15,-0.0,-2.7931507673828852e-15,3
y,8.0,30.0,4.900749719809166e-7,2.7338159268322533e-7,1.0923946404152655e-5,2.635992579106475,0.329663638416415,0.07996382828756543,0.18865160979301282,0.32966363841641433,0.07996382828756544,0.18865160979301324,0.32966363841641433,0.07996382828756544,0.18865160979301324,-2.0221634138244717e-15,-1.736810679356457e-16,-2.208547773609511e-15,3
y,8.0,31.0,4.900749719809166e-7,2.7338159268322533e-7,1.087008911527362e-5,2.635992579106475,0.3295739691543233,0.08037209958824823,0.18828110175836157,0.3295739691543217,0.0803720995882482,0.18828110175836163,0.3295739691543217,0.0803720995882482,0.18828110175836163,-4.888224524970417e-15,-3.4559761818733546e-16,-2.9505251378932257e-16,3
y,8.0,32.0,4.900749719809166e-7,2.7338159268322533e-7,1.0803339774641766e-5,2.635992579106475,0.3294615474238809,0.08088392279412693,0.18781658188360256,0.32946154742388245,0.08088392279412698,0.18781658188360326,0.32946154742388245,0.08088392279412698,0.18781658188360326,-4.72127554369166e-15,-6.86821440575105e-16,-3.697278204598045e-15,3
y,8.0,33.0,4.900749719809166e-7,2.7338159268322533e-7,1.0721412374644773e-5,2.635992579106475,0.32932157527479106,0.08152110983596228,0.18723822532467935,0.32932157527479256,0.08152110983596232,0.18723822532468032,0.32932157527479256,0.08152110983596232,0.18723822532468032,-4.554593584750072e-15,-5.110898191089263e-16,-5.192178118750559e-15,3
y,8.0,34.0,4.900749719809166e-7,2.7338159268322533e-7,1.0621835483708491e-5,2.635992579106475,0.3291484293196663,0.0823092120785044,0.1865227965808245,0.3291484293196665,0.08230921207850474,0.18652279658082488,0.329148429319666,0.08230921207850413,0.18652279658082446,-7.394876843571349e-16,-2.553412881340068e-15,-1.4041612986694895e-15,3
y,8.0,35.0,4.900749719809166e-7,2.7338159268322533e-7,1.050200695389029e-5,2.635992579106475,0.32893554565541205,0.0832780354791513,0.18564317399655103,0.32893554565541216,0.08327803547915132,0.18564317399655078,0.32893554565541216,0.08327803547915132,0.18564317399655078,-3.377732392048874e-16,-1.6676910079950043e-16,-1.3466030034714318e-15,3
y,8.0,36.0,4.900749719809166e-7,2.7338159268322533e-7,1.0359275587912944e-5,2.635992579106475,0.3286752908081365,0.08446221579437108,0.1845678165137135,0.32867529080813773,0.08446221579437098,0.18456781651371412,0.32867529080813773,0.08446221579437098,0.18456781651371412,-3.718447678854102e-15,-1.1510167089285345e-15,-3.3108748190435594e-15,3
y,8.0,37.0,4.900749719809166e-7,2.7338159268322533e-7,1.0191052660813872e-5,2.635992579106475,0.3283588166731113,0.08590186176361092,0.18326016429209352,0.3283588166731106,0.0859018617636113,0.18326016429209357,0.3283588166731106,0.0859018617636113,0.18326016429209357,-2.030199021997278e-15,-4.365231158184683e-15,-3.0313632309247344e-16,3
y,8.0,38.0,4.900749719809166e-7,2.7338159268322533e-7,9.99495364517973e-6,2.635992579106475,0.3279758969527278,0.08764327589859379,0.18167796288085986,0.32797589695272916,0.08764327589859379,0.18167796288085977,0.32797589695272916,0.08764327589859379,0.18167796288085977,-4.2345194333621135e-15,-0.0,-4.586644259870258e-16,3
y,8.0,39.0,4.900749719809166e-7,2.7338159268322533e-7,9.768966602858254e-6,2.635992579106475,0.3275147419950547,0.08973976466522396,0.17977249814244595,0.3275147419950544,0.08973976466522371,0.1797724981424454,0.3275147419950544,0.08973976466522371,0.1797724981424454,-8.480963640663639e-16,-2.7856954674475616e-15,-3.09017302128213e-15,3
y,8.0,40.0,4.900749719809166e-7,2.7338159268322533e-7,9.511638602335086e-6,2.635992579106475,0.32696178816551946,0.09225255259144653,0.1774877259490328,0.32696178816551946,0.09225255259144632,0.17748772594903223,0.32696178816551946,0.09225255259144632,0.17748772594903223,-0.0,-2.258181920674785e-15,-3.2864499603887727e-15,3
y,8.0,41.0,4.900749719809166e-7,2.7338159268322533e-7,9.222265735796654e-6,2.635992579106475,0.3263014568956646,0.09525181832865118,0.17475927658631923,0.32630145689566536,0.0952518183286509,0.17475927658631868,0.32630145689566536,0.0952518183286509,0.17475927658631868,-2.3834995424745315e-15,-2.91610246122293e-15,-3.1788190851996635e-15,3
y,8.0,42.0,4.900749719809166e-7,2.7338159268322533e-7,8.901066872863153e-6,2.635992579106475,0.32551587728006726,0.09881787514569858,0.1715133085405889,0.32551587728006576,0.09881787514569892,0.1715133085405882,0.32551587728006576,0.09881787514569892,0.1715133085405882,-4.6078426238356585e-15,-3.5135857436546726e-15,-4.2106736030682725e-15,3
y,8.0,43.0,4.900749719809166e-7,2.7338159268322533e-7,8.549317650292084e-6,2.635992579106475,0.32458456444926786,0.10304252401619252,0.16766517955491134,0.324584564449269,0.10304252401619261,0.1676651795549117,0.324584564449269,0.10304252401619261,0.1676651795549117,-3.423010115535587e-15,-9.434689472199999e-16,-2.153656957168741e-15,3
y,8.0,44.0,4.900749719809166e-7,2.7338159268322533e-7,8.169420938598876e-6,2.635992579106475,0.32348404381579615,0.10803061473052471,0.16311789403606486,0.3234840438157965,0.10803061473052532,0.1631178940360648,0.3234840438157965,0.10803061473052532,0.1631178940360648,-1.03039664740549e-15,-5.656553354115474e-15,-3.40568474728746e-16,3
y,8.0,45.0,4.900749719809166e-7,2.7338159268322533e-7,7.764894349300202e-6,2.635992579106475,0.3221874085130779,0.11390185980214364,0.1577602744186344,0.32218740851307764,0.11390185980214344,0.15776027441863374,0.32218740851307764,0.11390185980214344,0.15776027441863374,-8.621195444789221e-16,-1.7070383542695948e-15,-4.225612252073975e-15,3
y,8.0,46.0,4.900749719809166e-7,2.7338159268322533e-7,7.340264487157561e-6,2.635992579106475,0.32066379370490516,0.1207929579832454,0.1514647890430901,0.32066379370490505,0.12079295798324602,0.1514647890430907,0.32066379370490505,0.12079295798324602,0.1514647890430907,-3.464863415415773e-16,-5.1738872002869535e-15,-3.851089970149751e-15,3
y,8.0,47.0,4.900749719809166e-7,2.7338159268322533e-7,6.900870468994038e-6,2.635992579106475,0.31887774663116886,0.12886009982748517,0.1440849492224105,0.31887774663116886,0.12886009982748553,0.14408494922241083,0.31887774663116886,0.12886009982748553,0.14408494922241083,-0.0,-2.802211707943762e-15,-2.3133358205405395e-15,3
y,8.0,48.0,4.900749719809166e-7,2.7338159268322533e-7,6.452593237113202e-6,2.635992579106475,0.3167884648454778,0.138281948125339,0.13545216168540264,0.3167884648454781,0.13828194812533853,0.1354521616854022,0.3167884648454781,0.13828194812533853,0.1354521616854022,-1.0521749092081095e-15,-3.4147545038997754e-15,-3.2810292095214085e-15,3
y,8.0,49.0,4.900749719809166e-7,2.7338159268322533e-7,6.001539159937149e-6,2.635992579106475,0.31434886648033566,0.1492632128368523,0.1253718869679574,0.31434886648033666,0.1492632128368522,0.12537188696795715,0.31434886648033666,0.1492632128368522,0.12537188696795715,-3.1810218815389097e-15,-5.582702996640054e-16,-1.993968996746593e-15,3
y,8.0,50.0,4.900749719809166e-7,2.7338159268322533e-7,5.553713377894113e-6,2.635992579106475,0.31150444466265975,0.16203897565691022,0.11361890592642866,0.3115044446626597,0.16203897565690992,0.11361890592642804,0.3115044446626597,0.16203897565690992,0.11361890592642804,-1.7833714197236617e-16,-1.8855986148510508e-15,-5.500573466171181e-15,3
y,8.0,51.0,4.900749719809166e-7,2.7338159268322533e-7,5.114718658439851e-6,2.635992579106475,0.30819184210290607,0.1768799668228453,0.09993143002499846,0.30819184210290695,0.17687996682284526,0.09993143002499845,0.30819184210290695,0.17687996682284526,0.09993143002499845,-2.884064003447754e-15,-1.5703534258480194e-16,-1.3897732765089758e-16,3
y,8.0,52.0,4.900749719809166e-7,2.7338159268322533e-7,4.689509370177615e-6,2.635992579106475,0.3043370594719276,0.19409906086665585,0.08400369845593275,0.30433705947192646,0.1940990608666569,0.08400369845593258,0.30433705947192646,0.1940990608666569,0.08400369845593258,-3.65074253324394e-15,-5.437962607190816e-15,-1.9839416618770702e-15,3
y,8.0,53.0,4.900749719809166e-7,2.7338159268322533e-7,4.282219481107143e-6,2.635992579106475,0.29985317955697044,0.2140593454636526,0.06547657448807152,0.2998531795569708,0.21405934546365177,0.06547657448807134,0.2998531795569708,0.21405934546365177,0.06547657448807134,-1.111600266268441e-15,-3.8928091823671905e-15,-2.7574234239236556e-15,3
y,8.0,54.0,4.900749719809166e-7,2.7338159268322533e-7,3.896071084353199e-6,2.635992579106475,0.2946374438886594,0.23718423822557405,0.04392546626412235,0.2946374438886584,0.2371842382255753,0.04392546626412262,0.2946374438886584,0.2371842382255753,0.04392546626412262,-3.3938341628050926e-15,-5.269904474849093e-15,-6.165443041380696e-15,3
y,8.0,55.0,4.900749719809166e-7,2.7338159268322533e-7,3.5333586633387403e-6,2.635992579106475,0.28856745256506033,0.26397029494449226,0.018844624700756832,0.2885674525650596,0.26397029494449237,0.0188446247007568,0.2885674525650596,0.26397029494449237,0.0188446247007568,-2.5026611782697075e-15,-4.209019987230721e-16,-1.658215934566246e-15,3
y,8.0,56.0,4.900749719809166e-7,2.7338159268322533e-7,3.1954960948775475e-6,2.635992579106475,0.29500359164233564,0.28902103376784444,0.0,0.2950035916423354,0.2890210337678447,0.0,0.2950035916423354,0.2890210337678447,0.0,-7.532493019973863e-16,-9.610513748534045e-16,NaN,2
y,8.0,57.0,4.900749719809166e-7,2.7338159268322533e-7,2.883109043879201e-6,2.635992579106475,0.3309809059464314,0.3023092341340903,0.0,0.33098090594642965,0.30230923413408983,0.0,0.33098090594642965,0.30230923413408983,0.0,-5.370974470104949e-15,-1.4700923716590725e-15,NaN,2
y,8.0,58.0,4.900749719809166e-7,2.7338159268322533e-7,2.596154659195454e-6,2.635992579106475,0.3727374241164083,0.3117461376514963,0.0,0.3727374241164074,0.31174613765149517,0.0,0.3727374241164074,0.31174613765149517,0.0,-2.3846411453647143e-15,-3.563977587105237e-15,NaN,2
y,8.0,59.0,4.900749719809166e-7,2.7338159268322533e-7,2.3340524026335702e-6,2.635992579106475,0.4212834434211458,0.3146331183475851,0.0,0.42128344342114554,0.3146331183475837,0.0,0.42128344342114554,0.3146331183475837,0.0,-6.593282176210894e-16,-4.590658253902818e-15,NaN,2
y,8.0,60.0,4.900749719809166e-7,2.7338159268322533e-7,2.0958132780095537e-6,2.635992579106475,0.477853663633912,0.30703128051165973,0.0,0.4778536636339138,0.30703128051165907,0.0,0.4778536636339138,0.30703128051165907,0.0,-3.72015562758643e-15,-2.171224206742082e-15,NaN,2
y,8.0,61.0,4.900749719809166e-7,2.7338159268322533e-7,1.8801586395231415e-6,2.635992579106475,0.5439743960480862,0.2831857282436597,0.0,0.5439743960480856,0.2831857282436597,0.0,0.5439743960480856,0.2831857282436597,0.0,-1.021239469659103e-15,-0.0,NaN,2
y,8.0,62.0,4.900749719809166e-7,2.7338159268322533e-7,1.6856234095302309e-6,2.635992579106475,0.6215567559569706,0.23464684033386807,0.0,0.621556755956972,0.2346468403338692,0.0,0.621556755956972,0.23464684033386918,0.0,-2.323799247374789e-15,-4.735134592611516e-15,NaN,2
y,8.0,63.0,4.900749719809166e-7,2.7338159268322533e-7,1.5106415136385094e-6,2.635992579106475,0.7130283336781452,0.14890135076900657,0.0,0.7130283336781449,0.14890135076900707,0.0,0.7130283336781449,0.14890135076900707,0.0,-4.674665206045281e-16,-3.357762093985779e-15,NaN,2
y,8.0,64.0,4.900749719809166e-7,2.7338159268322533e-7,1.3536135059790136e-6,2.635992579106475,0.8215232071520098,0.007189255857757208,0.0,0.8215232071520058,0.0071892558577580715,0.0,0.8215232071520046,0.0071892558577563385,0.0,-5.616832827762974e-15,-6.970872743165322e-14,NaN,2
y,8.0,65.0,4.900749719809166e-7,2.7338159268322533e-7,1.2129577506866478e-6,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,66.0,4.900749719809166e-7,2.7338159268322533e-7,1.0871472830752117e-6,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,67.0,4.900749719809166e-7,2.7338159268322533e-7,9.747347619287561e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,68.0,4.900749719809166e-7,2.7338159268322533e-7,8.743678994786814e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,69.0,4.900749719809166e-7,2.7338159268322533e-7,7.847975462115653e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,70.0,4.900749719809166e-7,2.7338159268322533e-7,7.048803082808205e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,71.0,4.900749719809166e-7,2.7338159268322533e-7,6.335772497304013e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,72.0,4.900749719809166e-7,2.7338159268322533e-7,5.699499189296057e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,73.0,4.900749719809166e-7,2.7338159268322533e-7,5.131546593876589e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,74.0,4.900749719809166e-7,2.7338159268322533e-7,4.624359280763389e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,75.0,4.900749719809166e-7,2.7338159268322533e-7,4.171191505767619e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,76.0,4.900749719809166e-7,2.7338159268322533e-7,3.766034885877064e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,77.0,4.900749719809166e-7,2.7338159268322533e-7,3.403547763966868e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,78.0,4.900749719809166e-7,2.7338159268322533e-7,3.078987930291821e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,79.0,4.900749719809166e-7,2.7338159268322533e-7,2.788149703608336e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,80.0,4.900749719809166e-7,2.7338159268322533e-7,2.5273058950626194e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,81.0,4.900749719809166e-7,2.7338159268322533e-7,2.2931548404539763e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,82.0,4.900749719809166e-7,2.7338159268322533e-7,2.082772456396747e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,83.0,4.900749719809166e-7,2.7338159268322533e-7,1.89356912555803e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,84.0,4.900749719809166e-7,2.7338159268322533e-7,1.7232511239208045e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,85.0,4.900749719809166e-7,2.7338159268322533e-7,1.5697862523419742e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
y,8.0,86.0,4.900749719809166e-7,2.7338159268322533e-7,1.431373313041321e-7,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
