target,asymptote,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,0.0,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
y,0.0,1.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.110742672024446e-5,2.635992579106475,0.33102749104956625,0.07920014400222058,0.19046865972641908,0.3288726710092582,0.07799248956513641,0.18933137376878345,3
y,0.0,2.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107425618387841e-5,2.635992579106475,0.331027489265786,0.07920015220482038,0.19046865261211002,0.328872669484369,0.07799249768484671,0.1893313664515695,3
y,0.0,3.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107418118659898e-5,2.635992579106475,0.33102747688843953,0.0792002067440869,0.19046860260806442,0.32887265787409836,0.07799255218832611,0.1893313173313915,3
y,0.0,4.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107390359091497e-5,2.635992579106475,0.3310274317609585,0.079200408940499,0.19046841790058064,0.3288726148256975,0.07799275424444459,0.18933113509519922,3
y,0.0,5.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.11073156826314e-5,2.635992579106475,0.3310273104784625,0.07920095096898108,0.19046792125200912,0.32887250085294,0.0779932984598613,0.18933064475373834,3
y,0.0,6.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107150374344032e-5,2.635992579106475,0.33102704167833347,0.07920215667629131,0.1904668215942116,0.32887224221592765,0.07799450048271317,0.18932955947514785,3
y,0.0,7.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1106829403846498e-5,2.635992579106475,0.3310265197534531,0.07920449451389357,0.1904646865488629,0.32887174426409804,0.07799683616581153,0.18932745216588284,3
y,0.0,8.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1106262179791083e-5,2.635992579106475,0.33102559773991774,0.0792086261468971,0.1904609129946866,0.32887086369775337,0.07800096439182984,0.18932372758778335,3
y,0.0,9.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1105328328484327e-5,2.635992579106475,0.33102407880133766,0.0792154291938736,0.19045469943251203,0.3288694142549223,0.07800776163081938,0.1893175948632081,3
y,0.0,10.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.110387351626302e-5,2.635992579106475,0.33102171215515014,0.07922602974711446,0.19044501754263674,0.32886715594950333,0.07801835317504079,0.189308038844655,3
y,0.0,11.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1101705345395968e-5,2.635992579106475,0.3310181846298941,0.0792418335732237,0.190430583380739,0.32886378852368686,0.07803414359413792,0.1892937920734471,3
y,0.0,12.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1098589366382737e-5,2.635992579106475,0.3310131123716988,0.07926455706696063,0.1904098289529511,0.32885894726154785,0.07805684784624378,0.18927330730157424,3
y,0.0,13.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1094245265844254e-5,2.635992579106475,0.3310060367057237,0.0792962581340895,0.19038087412388208,0.3288521936647508,0.07808852232974871,0.18924472885670682,3
y,0.0,14.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1088343308902571e-5,2.635992579106475,0.3309964151175611,0.07933936815578027,0.1903414978000072,0.3288430095389407,0.07813159702459076,0.18920586413310397,3
y,0.0,15.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.108050113802283e-5,2.635992579106475,0.3309836160265598,0.07939672270526126,0.19028910896420045,0.3288307916721749,0.07818890513269307,0.18915415631533186,3
y,0.0,16.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.107028105649512e-5,2.635992579106475,0.33096691072298173,0.07947159249218061,0.19022071901557006,0.3288148443529883,0.07826371562872267,0.1890866549260871,3
y,0.0,17.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1057187953496745e-5,2.635992579106475,0.33094546911653333,0.07956771512725479,0.1901329108331851,0.328794373077468,0.07835976434535719,0.18899998731846798,3
y,0.0,18.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1040668057993007e-5,2.635992579106475,0.33091834799348363,0.07968932648531964,0.19002181153344483,0.3287684775867079,0.07848128655856697,0.1888903298185576,3
y,0.0,19.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1020108739056485e-5,2.635992579106475,0.33088448946326887,0.07984119248102912,0.18988306091904242,0.32873614759401315,0.07863304796091561,0.18875337813851872,3
y,0.0,20.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0994839598301617e-5,2.635992579106475,0.3308427107242175,0.08002864032204537,0.18971178238281355,0.32869625450604895,0.07882037856535341,0.18858431679701093,3
