target,slope,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,0.25,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
y,0.25,1.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.071904029677902e-6,2.635992579106475,0.32408449457607724,0.10997973715429465,0.16229111610356356,0.3222744198422931,0.10879562343492002,0.16147075459255825,3
y,0.25,2.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.675043124474676e-6,2.635992579106475,0.3227523691256512,0.11587840418301,0.1568771347554709,0.32099778725716305,0.1147037158353378,0.1561079691381469,3
y,0.25,3.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.430098584954226e-6,2.635992579106475,0.32185587796406634,0.11984753430270828,0.15323122292862112,0.32013743084034707,0.118679784134259,0.1524951356235305,3
y,0.25,4.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.2510851275587655e-6,2.635992579106475,0.3211604951552719,0.12292560778376661,0.15040219780092456,0.31946941663434486,0.12176359642007457,0.14969101742304508,3
y,0.25,5.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.109475104254152e-6,2.635992579106475,0.32058432279819427,0.12547547935848063,0.14805761054150762,0.3189154732499229,0.12431841899032567,0.14736659726549148,3
y,0.25,6.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.9921082399862134e-6,2.635992579106475,0.3200881732712834,0.12767083841486865,0.14603828297023624,0.31843816586637047,0.1265181556484853,0.1453643023736179,3
y,0.25,7.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.891784807999527e-6,2.635992579106475,0.319650022962943,0.12960959673216235,0.14425450290759592,0.3180164143770926,0.12846087422278413,0.1435953108693881,3
y,0.25,8.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.804122095718495e-6,2.635992579106475,0.3192561494993866,0.1313528578193136,0.1426502422534998,0.3176370932242751,0.13020778697560467,0.14200414323036623,3
y,0.25,9.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.72624782238039e-6,2.635992579106475,0.3188973138803043,0.13294150010771522,0.14118793011485425,0.31729137625696097,0.13179986209646577,0.14055359614723426,3
y,0.25,10.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.656174554341556e-6,2.635992579106475,0.31856688911110836,0.13440433400152882,0.13984104273348089,0.3169729534962008,0.1332659553754083,0.13921740504119456,3
y,0.25,11.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.592468535463761e-6,2.635992579106475,0.3182600079222242,0.13576254523840547,0.1385901210398061,0.31667717609677304,0.13462726945051992,0.13797629943629094,3
y,0.25,12.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.5340606315733065e-6,2.635992579106475,0.317973036092848,0.13703222741849141,0.1374204423741063,0.3164005405834829,0.13589989095739427,0.13681569646342906,3
y,0.25,13.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.480131845568055e-6,2.635992579106475,0.3177031762233862,0.13822589821492368,0.13632054839820984,0.31614034092586224,0.13709634217535174,0.1357242519798293,3
y,0.25,14.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.430040618286365e-6,2.635992579106475,0.3174482034942346,0.1393534890540372,0.1352813386040069,0.3158944364704934,0.13822657437485258,0.13469295743901122,3
